Date,Time,TotalFrames,Avg_Mbps,Avg_DataFPS,Avg_RenderFPS
2025-12-23,18:36:05,300,68.66,1.67,733.39
2025-12-23,18:40:54,300,58.90,1.43,696.72
2025-12-29,19:55:31,300,53.86,0.79,687.13
2025-12-29,20:25:15,300,127.50,1.87,738.55
2025-12-29,20:35:37,300,136.39,2.00,702.46
2025-12-29,20:38:46,300,136.86,1.99,603.62
2026-01-03,16:50:36,300,195.72,1.77,599.56
2026-01-03,16:54:53,300,213.22,1.93,604.13
2026-01-04,14:51:51,300,221.74,1.78,606.09
2026-01-04,14:56:33,300,235.84,1.89,664.89
2026-01-04,15:00:48,300,184.34,1.91,710.65
2026-01-04,15:04:40,300,188.04,1.94,713.33
2026-01-04,15:15:26,300,190.22,1.96,783.67
2026-01-04,16:06:47,300,86.79,0.86,679.48
2026-01-04,16:13:31,300,188.92,1.88,651.58
2026-01-04,16:25:32,300,180.42,1.78,588.26
2026-01-04,16:30:25,300,187.79,1.86,575.77
2026-01-04,16:35:33,300,222.47,1.72,521.52
2026-01-04,16:40:19,300,225.47,1.75,576.36
2026-01-06,23:14:14,300,144.86,1.29,556.53
2026-01-06,23:17:47,300,175.11,1.57,672.16
2026-01-06,23:20:59,300,206.18,1.84,634.06
2026-01-06,23:24:42,300,169.68,1.52,622.70
2026-01-06,23:27:46,300,196.48,1.76,599.24
2026-01-06,23:31:21,300,175.73,1.57,616.53
2026-01-07,08:38:47,300,93.48,0.84,686.04
2026-01-10,11:05:10,300,110.70,1.44,553.64
2026-01-10,11:08:07,300,153.82,1.99,644.62
2026-01-10,11:14:02,300,153.52,2.00,639.01
2026-01-10,11:17:15,300,169.12,1.94,590.59
2026-01-10,11:23:05,300,99.31,1.39,683.59
2026-01-10,11:31:02,300,141.17,1.97,501.13
2026-01-10,11:34:03,300,142.32,2.00,628.67
2026-01-10,11:37:02,300,142.88,2.00,639.10
2026-01-10,11:40:20,300,167.14,1.92,589.98
2026-01-10,11:43:16,300,174.27,2.00,644.02
2026-01-15,21:21:08,300,159.38,1.83,488.08
2026-01-15,21:24:05,300,169.73,1.95,591.03
2026-01-15,21:28:04,300,124.73,1.95,653.92
2026-01-15,21:33:59,300,94.94,1.94,683.67
2026-01-15,21:38:00,300,67.31,1.57,681.16
2026-01-15,21:40:48,300,85.69,2.00,650.38
2026-01-15,21:43:49,300,83.88,1.99,652.23
2026-01-15,21:46:52,300,96.39,1.99,663.07
2026-01-15,21:50:02,300,126.58,2.00,630.16
2026-01-15,21:53:15,300,127.46,2.00,637.52
2026-01-15,21:56:24,300,97.92,2.00,648.00
2026-01-15,21:59:21,300,96.43,2.00,659.20
2026-01-15,22:03:01,300,71.56,1.67,664.55
2026-01-16,09:14:55,300,85.78,2.00,662.59
2026-01-16,09:18:56,300,83.98,2.00,669.51
2026-01-19,21:09:01,300,153.94,2.00,433.29
2026-01-19,21:13:27,300,140.93,1.97,568.54
2026-01-20,09:19:39,300,141.10,1.97,453.83
2026-01-20,09:27:58,300,102.67,1.43,591.51
2026-01-20,09:40:38,300,174.26,2.00,589.46
2026-01-26,20:30:40,300,118.61,1.66,490.52
